ID,adj.P.Val,P.Value,F,Gene.symbol
221759_at,0.01229509,6.14E-04,7.86883,G6PC3
1562271_x_at,0.01231043,6.15E-04,7.86659,ARHGEF7
1562056_at,0.01231374,6.15E-04,7.86571,
1557828_a_at,0.01231717,6.16E-04,7.86467,TMEM267
222811_at,0.01231717,6.16E-04,7.8641,CMTR2
211880_x_at,0.01231717,6.16E-04,7.86332,PCDHGA1
38241_at,0.01231717,6.16E-04,7.86329,BTN3A3
227121_at,0.01232341,6.17E-04,7.86208,ZBTB20
237755_s_at,0.01233677,6.18E-04,7.85957,CFAP52
243318_at,0.01233677,6.18E-04,7.85956,DCAF8
229631_at,0.01238983,6.21E-04,7.85309,DNHD1
215837_x_at,0.012409,6.22E-04,7.85044,
203745_at,0.01241483,6.23E-04,7.84928,HCCS
228397_at,0.01241889,6.23E-04,7.84791,TUG1
215359_x_at,0.01241889,6.23E-04,7.84782,LOC101060181///ZNF44
231848_x_at,0.01242401,6.24E-04,7.84631,ZNF207
225618_at,0.01242401,6.24E-04,7.84585,ARHGAP27
212025_s_at,0.01242401,6.24E-04,7.84573,FLII
237451_x_at,0.0124365,6.25E-04,7.84383,
205325_at,0.01244439,6.26E-04,7.84245,PHYHIP
209018_s_at,0.01245481,6.26E-04,7.84078,PINK1
206911_at,0.01247142,6.28E-04,7.83843,TRIM25
215139_at,0.01248033,6.28E-04,7.83693,ARHGEF10
206022_at,0.01248355,6.29E-04,7.83607,NDP
204684_at,0.01251192,6.30E-04,7.83239,NPTX1
232963_at,0.01251192,6.30E-04,7.83192,
205454_at,0.01251971,6.31E-04,7.83055,HPCA
1557240_a_at,0.01253214,6.32E-04,7.82851,
1556095_at,0.01253214,6.32E-04,7.8277,UNC13C
43511_s_at,0.01253214,6.32E-04,7.82767,ARRB1
228044_at,0.01253508,6.33E-04,7.82652,SERP2
234875_at,0.01253508,6.33E-04,7.82634,RPL7AP10
218740_s_at,0.01255293,6.34E-04,7.82348,CDK5RAP3
213173_at,0.01255293,6.34E-04,7.82336,PCNX1
221768_at,0.01255705,6.35E-04,7.82241,SFPQ
